the	các
saturn	sao Thổ
organizer	người tổ chức
nut	hạt
allergy	dị ứng
sake	lợi ích
twisted	vặn vẹo
combinations	sự kết hợp
preceding	trước
merit	công lao
enzyme	enzim
cumulative	tích lũy
planes	máy bay
tackle	giải quyết
disks	đĩa
condo	chung cư
amplifier	bộ khuếch đại
ambien	môi trường xung quanh
arbitrary	Bất kỳ
prominent	nổi bật
retrieve	lấy lại
sans	không
worldcat	mèo thế giới
titanium	titan
fairy	tiên
builds	xây dựng
contacted	đã liên hệ
shaft	trục
lean	độ nghiêng
bye	tạm biệt
cdt	cdt
recorders	máy ghi âm
occasional	thỉnh thoảng
postings	bài đăng
innovations	đổi mới
kitty	mèo con
postcards	bưu thiếp
dude	anh bạn
drain	làm khô hạn
monte	núi
fires	hỏa hoạn
blessed	Hạnh phúc
reviewing	xem xét
cornwall	bức tường ngô
favors	ân huệ
potato	khoai tây
panic	hoảng loạn
explicitly	rõ ràng
sticks	gậy
transsexual	chuyển đổi giới tính
citizenship	quyền công dân
excuse	thứ lỗi
reforms	cải cách
basement	tầng hầm
onion	củ hành
strand	sợi dây
sandwich	bánh mì sandwich
lawsuit	vụ kiện
informative	nhiều thông tin
girlfriend	bạn gái
bloomberg	hoa nở
cheque	kiểm tra
hierarchy	hệ thống cấp bậc
influenced	bị ảnh hưởng
banners	băng rôn
reject	từ chối
abandoned	bị bỏ rơi
circles	vòng tròn
italic	in nghiêng
beats	nhịp đập
merry	vui
mil	triệu
scuba	lặn biển
gore	máu me
complement	bổ sung
cult	giáo phái
dash	dấu gạch ngang
passive	thụ động
valued	có giá trị
cage	cái lồng
checklist	danh mục
requesting	yêu cầu
courage	lòng can đảm
verde	xanh tươi
scenarios	kịch bản
gazette	công báo
extraction	khai thác
batman	người dơi
elevation	độ cao
hearings	phiên điều trần
hugh	ôm
lap	lòng
utilization	sự tận dụng
beverages	đồ uống
calibration	sự định cỡ
eval	đánh giá
efficiently	hiệu quả
textbook	sách giáo khoa
dried	khô
entertaining	giải trí
prerequisite	điều kiện tiên quyết
frontier	biên giới
settle	ổn định
stopping	dừng lại
refugees	những người tị nạn
knights	hiệp sĩ
hypothesis	giả thuyết
palmer	cây cọ
medicines	các loại thuốc
flux	tuôn ra
peaceful	hoà bình
altered	bị thay đổi
regression	hồi quy
doctrine	học thuyết
scenic	có cảnh đẹp thiên nhiên
trainers	huấn luyện viên
muze	mê hoặc
enhancements	cải tiến
renewable	tái tạo
intersection	ngã tư
passwords	mật khẩu
sewing	may vá
consistency	Tính nhất quán
collectors	người sưu tầm
conclude	kết luận
recognised	được công nhận
celebs	người nổi tiếng
propose	cầu hôn
lighter	nhẹ hơn
rage	cơn thịnh nộ
adsl	quảng cáo
prix	giải nhất
astrology	chiêm tinh học
advisors	cố vấn
pavilion	gian hàng
tactics	chiến thuật
trusts	quỹ tín thác
occurring	xảy ra
supplemental	bổ sung
travelling	đi du lịch
talented	có tài
pillow	cái gối
induction	hướng dẫn
precisely	đúng
shorter	ngắn hơn
spreading	truyền bá
provinces	tỉnh
relying	dựa vào
finals	trận chung kết
steal	ăn cắp
parcel	bưu kiện
refined	tinh tế
fifteen	mười lăm
widespread	phổ biến rộng rãi
incidence	tỷ lệ mắc bệnh
fears	sợ hãi
predict	dự đoán
boutique	cửa hàng
rolled	cán
tuner	bộ chỉnh âm
incidents	sự cố
toddler	trẻ mới biết đi
enhancing	tăng cường
flavor	hương vị
alike	như nhau
homeless	vô gia cư
horrible	tệ hại
hungry	đói bụng
metallic	kim loại
acne	mụn
blocked	bị chặn
interference	sự can thiệp
warriors	chiến binh
listprice	bảng giá
undo	Hoàn tác
atmospheric	khí quyển
sagem	cây xô thơm
knowledgestorm	cơn bão tri thức
dana	bố thí
halo	hào quang
ppm	trang/phút
parental	cha mẹ
referenced	được tham chiếu
strikes	đình công
lesser	ít hơn
publicity	công khai
marathon	maratông
ant	con kiến
proposition	Dự luật
gays	người đồng tính
pressing	ép
gasoline	xăng
apt	đúng cách
dressed	mặc quần áo
scout	trinh sát
exec	người điều hành
dealt	xử lý
inf	thông tin
warcraft	chiến thuật
charms	bùa chú
catalyst	chất xúc tác
trader	thương nhân
bucks	Xô
allowance	trợ cấp
denial	phủ nhận
uri	nước tiểu
designation	sự chỉ định
thrown	ném
prepaid	trả trước
raises	tăng lên
gem	đá quý
duplicate	nhân bản
electro	điện
criterion	tiêu chuẩn
badge	huy hiệu
wrist	cổ tay
civilization	nền văn minh
analyzed	phân tích
heath	cây thạch thảo
tremendous	to lớn
ballot	phiếu
varying	thay đổi
remedies	biện pháp khắc phục
validity	hiệu lực
trustee	người được ủy thác
handjobs	làm bằng tay
weighted	có trọng lượng
squirt	tia nước
performs	thực hiện
plastics	nhựa
realm	vương quốc
corrected	đã sửa
jenny	cú chọc
helmet	mũ bảo hiểm
salaries	lương
postcard	bưu thiếp
elephant	con voi
encountered	đã gặp
tsunami	sóng thần
scholar	học giả
internationally	quốc tế
surrounded	Được bao quanh
buses	xe buýt
geology	địa chất học
pct	phần trăm
creatures	sinh vật
coating	lớp áo
commented	đã bình luận
wallet	cái ví
cleared	đã xóa
smilies	mặt cười
accomplish	hoàn thành
boating	chèo thuyền
drainage	thoát nước
corners	góc
broader	rộng hơn
vegetarian	người ăn chay
rouge	màu hồng
yeast	men
newfoundland	vùng đất mới
pas	tạm thời
clearing	thanh toán bù trừ
investigated	điều tra
ambassador	đại sứ
coated	tráng
intend	có ý định
contacting	liên lạc
vegetation	thảm thực vật
doom	sự chết
findarticles	tìm bài viết
specially	đặc biệt
owen	nợ
routines	thói quen
hitting	đánh
beings	chúng sinh
bite	cắn
aquatic	thủy sinh
reliance	sự trông cậy
habits	thói quen
striking	nổi bật
myth	huyền thoại
infectious	truyền nhiễm
continuity	liên tục
brook	dòng suối
outputs	kết quả đầu ra
phenomenon	hiện tượng
ensemble	quần thể
assured	yên tâm
weed	cần sa
conscious	biết rõ
accent	giọng
eleven	mười một
wives	những người vợ
ambient	môi trường xung quanh
utilize	sử dụng
mileage	số dặm
prostate	tuyến tiền liệt
adaptor	bộ chuyển đổi
auburn	màu nâu vàng
unlock	mở khóa
pledge	lời hứa
vampire	ma cà rồng
relates	liên quan
nitrogen	nitơ
dice	xúc xắc
merger	sáp nhập
softball	bóng mềm
referrals	giới thiệu
quad	bốn người
dock	bến tàu
differently	khác nhau
firewire	dây lửa
nextel	tiếp theo
framing	đóng khung
organised	được tổ chức
musician	nhạc sĩ
blocking	chặn
sorts	sắp xếp
integrating	tích hợp
limiting	hạn chế
dispatch	gửi đi
revisions	sửa đổi
restored	được phục hồi
hint	gợi ý
armor	áo giáp
riders	tay đua
chargers	bộ sạc
remark	nhận xét
dozens	hàng chục
varies	thay đổi
reasoning	lý luận
rendered	kết xuất
picking	hái
charitable	từ thiện
guards	lính canh
annotated	chú thích
convinced	bị thuyết phục
openings	lỗ hở
buys	Mua
replacing	thay thế
researcher	nhà nghiên cứu
watershed	lưu vực sông
councils	hội đồng
occupations	nghề nghiệp
acknowledged	thừa nhận
nudity	ảnh khoả thân
kruger	người lùn
pockets	túi
granny	bà nội
pork	thịt lợn
equilibrium	trạng thái cân bằng
viral	nổi tiếng
inquire	hỏi thăm
pipes	đường ống
characterized	đặc trưng
laden	chất đầy
cottages	nhà tranh
realtor	người môi giới bất động sản
merge	hợp nhất
privilege	đặc quyền
develops	phát triển
qualifying	đủ điều kiện
chassis	khung xe
estimation	ước lượng
barn	chuồng trại
pushing	đẩy
fleece	vải lông cừu
pediatric	nhi khoa
fare	giá vé
pierce	khoan
dressing	Cách ăn mặc
techrepublic	cộng hòa công nghệ
sperm	tinh trùng
bald	hói
filme	phim
craps	xúc xắc
frost	sương giá
institutes	viện
mold	khuôn
dame	phu nhân
yacht	thuyền buồm
prefers	thích hơn
drilling	khoan
brochures	tài liệu quảng cáo
herb	thảo dược
alot	nhiều
ate	ăn
breach	sự vi phạm
whale	cá voi
traveller	du khách
appropriations	sự chiếm đoạt
suspected	nghi ngờ
tomatoes	cà chua
benchmark	điểm chuẩn
beginners	người mới bắt đầu
instructors	giảng viên
highlighted	nhấn mạnh
stationery	văn phòng phẩm
idle	nhàn rỗi
unauthorized	không được phép
clusters	cụm
antibody	kháng thể
competent	có thẩm quyền
momentum	Quán tính
fin	vây
wiring	hệ thống dây điện
pastor	mục sư
mud	bùn
uni	đại học
shark	cá mập
contributor	người đóng góp
demonstrates	chứng tỏ
phases	giai đoạn
grateful	tri ân
emerald	ngọc lục bảo
gradually	dần dần
laughing	cười
grows	mọc
cliff	vách đá
desirable	mong muốn
tract	đường
journalist	nhà báo
bumper	bội thu
afterwards	sau đó
webpage	trang web
religions	tôn giáo
garlic	tỏi
hostels	ký túc xá
shine	chiếu sáng
explosion	vụ nổ
banned	bị cấm
briefs	tóm tắt
signatures	chữ ký
diffs	sự khác biệt
cove	vịnh nhỏ
mumbai	Mumbai
ozone	khí quyển
disciplines	môn học
casa	nhà
daughters	con gái
conversations	cuộc trò chuyện
radios	radio
tariff	thuế quan
opponent	phản đối
pasta	mỳ ống
simplified	giản thể
muscles	cơ bắp
serum	huyết thanh
wrapped	bọc
swift	nhanh
motherboard	bo mạch chủ
runtime	thời gian chạy
inbox	hộp thư đến
focal	tiêu điểm
bibliographic	thư mục
vagina	âm đạo
distant	xa xôi
incl	bao gồm
ala	than ôi
decimal	số thập phân
deviation	sự lệch lạc
superintendent	giám đốc
dip	nhúng
hostel	nhà trọ
housewives	các bà nội trợ
employ	thuê
penguin	chim cánh cụt
magical	huyền diệu
influences	ảnh hưởng
inspections	kiểm tra
irrigation	thủy lợi
miracle	phép màu
manually	bằng tay
reprint	in lại
what	cái gì
hydraulic	thủy lực
centered	trung tâm
flex	uốn cong
yearly	hàng năm
penetration	thâm nhập
wound	vết thương
belle	người đẹp
rosa	màu hồng
conviction	lòng tin chắc, sự kết án, phán quyết
hash	hàm băm
omissions	thiếu sót
writings	bài viết
lazy	lười
retrieval	thu hồi
qualities	phẩm chất
lolita	cô gái nhỏ
fathers	những người cha
carb	tinh bột
charging	sạc
marvel	kỳ quan
lined	lót
down	xuống
prototype	nguyên mẫu
importantly	quan trọng
petite	nhỏ nhắn
apparatus	bộ máy
terrain	địa hình
pens	bút mực
explaining	giải thích
strips	dải
gossip	chuyện phiếm
rangers	kiểm lâm
nomination	sự đề cử
empirical	thực nghiệm
rotary	quay
worm	sâu
dependence	sự phụ thuộc
discrete	rời rạc
beginner	người bắt đầu
boxed	đóng hộp
lid	Nắp
sexuality	tình dục
cubic	khối
deaf	điếc
commitments	cam kết
suggesting	gợi ý
sapphire	ngọc bích
skirts	váy
mats	thảm
remainder	phần còn lại
labeled	dán nhãn
privileges	đặc quyền
televisions	tivi
specializing	chuyên môn
marking	đánh dấu
commodities	hàng hóa
sheriff	cảnh sát trưởng
griffin	chim ưng
declined	suy giảm
spies	gián điệp
mime	kịch câm
neighbor	hàng xóm
motorcycles	xe máy
elect	trúng tuyển
highways	đường xa lộ
concentrate	tập trung
intimate	thân mật
reproductive	sinh sản
deadly	chết người
feof	sự giả dối
bunny	chú thỏ
molecules	phân tử
rounds	vòng
longest	dài nhất
refrigerator	tủ lạnh
tions	ý kiến
intervals	khoảng thời gian
sentences	câu
dentists	nha sĩ
exclusion	loại trừ
workstation	trạm làm việc
holocaust	sự tàn sát
keen	sắc sảo
flyer	tờ rơi
peas	đậu Hà Lan
dosage	liều lượng
receivers	máy thu
customise	tùy chỉnh
disposition	bố trí
variance	phương sai
navigator	hoa tiêu
investigators	điều tra viên
cameroon	Cameroon
baking	nướng bánh
marijuana	cần sa
adaptive	thích nghi
computed	tính toán
needle	cây kim
baths	bồn tắm
cathedral	thánh đường
brakes	phanh
nirvana	niết bàn
fairfield	sân hội chợ
owns	sở hữu
til	cho đến khi
invision	sự nhìn thấy
sticky	dính
destiny	định mệnh
generous	hào phóng
madness	điên cuồng
emacs	emac
climb	leo
blowing	thổi
fascinating	lôi cuốn
landscapes	phong cảnh
heated	đun nóng
computation	tính toán
hay	cỏ khô
cardiovascular	tim mạch
sparc	tia lửa
cardiac	tim
salvation	sự cứu rỗi
dover	dover
predictions	phỏng đoán
accompanying	đi kèm
brutal	tàn bạo
learners	người học
selective	chọn lọc
arbitration	trọng tài
configuring	cấu hình
token	mã thông báo
editorials	bài xã luận
zincat	kẽm
sacrifice	hy sinh
seekers	người tìm kiếm
guru	đạo sư
removable	có thể tháo rời
convergence	sự hội tụ
yields	sản lượng
levy	thu thuế
suited	phù hợp
numeric	số
anthropology	nhân học
skating	trượt băng
kinda	đại loại
emperor	hoàng đế
grad	tốt nghiệp
malpractice	hành vi sai trái
bras	áo ngực
belts	thắt lưng
blacks	người da đen
educated	có học thức
rebates	giảm giá
reporters	những phóng viên
proudly	Tự hào
necessity	sự cần thiết
rendering	kết xuất
mic	micrô
inserted	chèn vào
pulling	đang kéo
basename	tên cơ sở
obesity	béo phì
curves	đường cong
suburban	ngoại ô
touring	du lịch
vertex	đỉnh
hepatitis	viêm gan
nationally	toàn quốc
tomato	cà chua
waterproof	không thấm nước
expired	hết hạn
travels	chuyến đi
flush	tuôn ra
waiver	sự từ bỏ
pale	tái nhợt
specialties	đặc sản
hayes	vâng
humanitarian	nhân đạo
invitations	lời mời
functioning	hoạt động
delight	Hân hoan
survivor	người sống sót
cingular	hình vành khuyên
economies	nền kinh tế
alexandria	alexandria
bacterial	vi khuẩn
counted	tính
undertake	đảm nhận
declare	tuyên bố
continuously	liên tục
gaps	khoảng trống
impaired	suy yếu
achievements	thành tựu
donors	nhà tài trợ
tear	xé
jewel	viên ngọc quý
If	nếu
convertible	có thể chuyển đổi
teaches	dạy
ventures	sự mạo hiểm
bufing	đánh bóng
stranger	người lạ
tragedy	bi kịch
nest	tổ
dryer	máy sấy khô
painful	đau đớn
velvet	nhung
tribunal	tòa án
ruled	cai trị
pensions	lương hưu
prayers	những lời cầu nguyện
funky	sôi nổi
secretariat	ban thư ký
nowhere	hư không
cop	cảnh sát
paragraphs	đoạn văn
gale	cơn lốc
joins	tham gia
adolescent	thanh niên
nominations	đề cử
lately	gần đây
cancelled	đã hủy bỏ
scary	đáng sợ
mattress	nệm
likewise	tương tự như vậy
banana	chuối
introductory	giới thiệu
cakes	Bánh
reservoir	Hồ chứa
occurrence	tần suất xảy ra
idol	thần tượng
bloody	dính máu
mixer	máy trộn
remind	nhắc lại
worcester	điều tồi tệ nhất
demographic	nhân khẩu học
charming	quyến rũ
tooth	răng
disciplinary	kỷ luật
annoying	khó chịu
respected	tôn trọng
stays	ở lại
disclose	tiết lộ
affair	công việc
drove	lái
washer	máy giặt
upset	buồn bã
restrict	hạn chế
springer	người làm lò xo
beside	bên cạnh
mines	mỏ
portraits	chân dung
rebound	dội lại
logan	quả nhãn
mentor	người hướng dẫn
interpreted	thông dịch
evaluations	đánh giá
fought	đã chiến đấu
elimination	sự loại bỏ
metres	mét
hypothetical	giả định
immigrants	Những người nhập cư
complimentary	ca ngợi
helicopter	trực thăng
pencil	bút chì
freeze	đông cứng
performer	người biểu diễn
titled	có tiêu đề
commissions	hoa hồng
sphere	quả cầu
powerseller	người bán quyền lực
moss	rêu
ratios	tỷ lệ
concord	sự hòa hợp
graduated	đã tốt nghiệp
endorsed	xác nhận
surprising	thật ngạc nhiên
walnut	quả óc chó
lance	cây thương
ladder	thang
italia	nước Ý
unnecessary	không cần thiết
dramatically	đáng kể
cork	nút bần
maximize	tối đa hóa
senators	thượng nghị sĩ
workout	tập thể dục
bleeding	sự chảy máu
characterization	đặc tính
colon	Đại tràng
likelihood	khả năng xảy ra
lanes	làn đường
purse	cái ví
fundamentals	nguyên tắc cơ bản
contamination	sự ô nhiễm
endangered	bị đe dọa
compromise	thỏa hiệp
masturbation	thủ dâm
optimize	tối ưu hóa
stating	nêu rõ
dome	mái vòm
expiration	hết hạn
namespace	không gian tên
align	căn chỉnh
peripheral	ngoại vi
bless	ban phước
engaging	hấp dẫn
negotiation	đàm phán
crest	mào
opponents	đối thủ
triumph	chiến thắng
nominated	được đề cử
confidentiality	bảo mật
electoral	bầu cử
changelog	nhật ký thay đổi
welding	hàn
orgasm	cực khoái
deferred	hoãn lại
alternatively	cách khác
heel	gót chân
alloy	hợp kim
condos	căn hộ
plots	mảnh đất
polished	đánh bóng
yang	dương
gently	dịu dàng
locking	khóa
controversial	gây tranh cãi
draws	hòa
fridge	tủ lạnh
blanket	cái chăn
bloom	hoa
recovered	đã phục hồi
justify	biện minh
upgrading	nâng cấp
blades	lưỡi dao
loops	vòng lặp
surge	dâng trào
frontpage	trang đầu
trauma	tổn thương
advert	Quảng cáo
possess	sở hữu
demanding	đòi hỏi khắt khe
defensive	phòng ngự
sip	một hớp
flashers	đèn nháy
forbidden	cấm
programmers	lập trình viên
monitored	theo dõi
installations	cài đặt
picnic	đi chơi picnic
souls	linh hồn
arrivals	lượt đến
spank	đánh đòn
practitioner	người hành nghề
motivated	có động lực
dumb	câm
hollow	rỗng
vault	kho tiền
securely	một cách an toàn
examining	kiểm tra
fioricet	tia lửa
groove	rãnh
revelation	sự mặc khải
pursuit	theo đuổi
delegation	phái đoàn
wires	Dây điện
dictionaries	từ điển
mails	thư
backing	ủng hộ
greenhouse	nhà kính
sleeps	ngủ
transparency	minh bạch
endless	bất tận
figured	hình dung
orbit	quỹ đạo
currencies	tiền tệ
bacon	thịt xông khói
survivors	người sống sót
positioning	định vị
heater	lò sưởi
colony	thuộc địa
cannon	pháo
circus	rạp xiếc
promoted	thăng chức
descending	giảm dần
spine	xương sống
trout	cá hồi
enclosed	gửi kèm
feat	kỳ công
temporarily	một cách tạm thời
cooked	nấu chín
thriller	giật gân
transmit	chuyển giao
fatty	béo
pressed	ép
frequencies	tần số
scanned	đã quét
reflections	sự phản xạ
hunger	nạn đói
municipality	đô thị
joyce	niềm vui
detective	thám tử
surgeon	bác sĩ phẫu thuật
cement	xi măng
experiencing	trải nghiệm
fireplace	lò sưởi
endorsement	sự chứng thực
planners	người lập kế hoạch
disputes	tranh chấp
textiles	tài liệu
missile	hỏa tiễn
intranet	mạng nội bộ
closes	đóng cửa
seq	thứ tự
psychiatry	tâm thần học
persistent	kiên trì
assists	hỗ trợ
summaries	tóm tắt
glow	ánh sáng
auditor	kiểm toán viên
aquarium	bể nuôi cá
violin	đàn vi ô lông
prophet	nhà tiên tri
circle	vòng tròn
bracket	dấu ngoặc
looksmart	nhìn thông minh
oaks	cây sồi
magnificent	tráng lệ
colleague	đồng nghiệp
naples	giấc ngủ ngắn
promptly	kịp thời
adaptation	sự thích ứng
harmful	có hại
paintball	súng sơn
sexually	tình dục
enclosure	bao vây
dividend	cổ tức
phantom	ma
norm	chuẩn mực
playback	phát lại
supervisors	người giám sát
westminster	westminster
turtle	con rùa
distances	khoảng cách
absorption	sự hấp thụ
treasures	Châu báu
warned	cảnh báo
neural	thần kinh
ware	đồ
fossil	hóa thạch
hometown	quê hương
badly	tệ
transcripts	bảng điểm
apollo	xin lỗi
disappointed	thất vọng
persian	người Ba Tư
continually	liên tục
communist	cộng sản
collectible	sưu tầm được
handmade	làm bằng tay
greene	cây xanh
entrepreneurs	doanh nhân
robots	robot
creations	sáng tạo
jade	ngọc bích
scoop	muỗng, xúc
acquisitions	mua lại
foul	Hôi
earning	kiếm tiền
mailman	người đưa thư
nested	lồng vào nhau
biodiversity	sự đa dạng sinh học
excitement	sự phấn khích
movers	máy động lực
verbal	bằng lời nói
blink	chớp mắt
presently	hiện tại
seas	biển
workflow	quy trình làm việc
mysterious	bí ẩn
novelty	sự mới lạ
tiles	gạch ngói
voyuer	kẻ rình mò
librarian	thủ thư
subsidiaries	công ty con
switched	chuyển đổi
pose	tư thế
fuzzy	mờ
grams	gam
therapist	nhà trị liệu
mrna	thưa ngài
budgets	ngân sách
toolkit	bộ công cụ
promising	đầy hứa hẹn
relaxation	thư giãn
goat	con dê
render	kết xuất
thereafter	sau đó
hardwood	cây phong
erotica	khiêu dâm
temporal	thời gian
sail	chèo
forge	làm giả
commissioners	ủy viên
dense	ngu độn
brave	can đảm
forwarding	chuyển tiếp
awful	tồi tệ
nightmare	cơn ác mộng
airplane	Máy bay
reductions	sự giảm bớt
impose	áp đặt
organisms	sinh vật
telescope	kính thiên văn
viewers	những người xem
enters	đi vào
pod	vỏ
savage	độc ác
advancement	thăng tiến
harassment	quấy rối
willow	cây liễu
resumes	sơ yếu lý lịch
bolt	chớp
gage	máy đo
throwing	ném
existed	tồn tại
whore	con điếm
generators	máy phát điện
wagon	toa xe
barbie	búp bê barbie
favour	ủng hộ
knock	cú đánh
urge	thúc giục
generates	tạo ra
potatoes	Những quả khoai tây
thorough	kỹ lưỡng
replication	nhân rộng
inexpensive	không tốn kém
receptors	thụ thể
peers	đồng nghiệp
optimum	tối ưu
neon	đèn neon
interventions	sự can thiệp
quilt	may chăn
creature	sinh vật
ours	của chúng tôi
mounts	gắn kết
internship	kỳ thực tập
lone	cô đơn
refresh	làm cho khỏe lại
aluminium	nhôm
snowboard	ván trượt tuyết
beastality	thú tính
webcast	truyền hình trực tuyến
evanescence	sự phù du
subtle	tế nhị
coordinated	phối hợp
shipments	lô hàng
stripes	sọc
firmware	phần sụn
antarctica	Nam Cực
cope	đối phó
shepherd	chăn cừu
cradle	cái nôi
chancellor	thủ tướng
lime	chanh xanh
flour	bột mì
controversy	tranh cãi
legendary	huyền thoại
sympathy	sự đồng cảm
choir	hợp xướng
avoiding	tránh
beautifully	đẹp đẽ
blond	tóc vàng
expects	mong đợi
jumping	nhảy
fabrics	vải
antibodies	kháng thể
polymer	polyme
hygiene	vệ sinh
wit	mưu mẹo
poultry	gia cầm
burst	nổ
examinations	kỳ thi
surgeons	bác sĩ phẫu thuật
bouquet	bó hoa
immunology	miễn dịch học
promotes	thúc đẩy
mandate	thi hành
departmental	phòng ban
corpus	tử thi
terminology	thuật ngữ
gentleman	quý ông
fibre	chất xơ
reproduce	tái sản xuất
convicted	bị kết án
shades	sắc thái
jets	máy bay phản lực
indices	chỉ số
roommates	bạn cùng phòng
adware	phần mềm quảng cáo
threatening	đe dọa
spokesman	người phát ngôn
activists	nhà hoạt động
prisoner	Tù nhân
daisy	hoa cúc
encourages	khuyến khích
ultram	cực độ
cursor	con trỏ
assembled	đã lắp ráp
earliest	sớm nhất
donated	tặng
stuffed	nhồi
restructuring	tái cơ cấu
insects	côn trùng
terminals	thiết bị đầu cuối
crude	thô
maiden	thiếu nữ
simulations	mô phỏng
sufficiently	đủ
examines	kiểm tra
viking	tên ông vua
myrtle	cây sim
bored	chán
cleanup	dọn dẹp
yarn	sợi
knit	Đan
conditional	có điều kiện
mug	cốc
crossword	ô chữ
bother	làm phiền
conceptual	khái niệm
knitting	đan lát
attacked	bị tấn công
mating	giao phối
compute	tính toán
redhead	tóc đỏ
arrives	đến
translator	người phiên dịch
automobiles	ô tô
tractor	máy kéo
continent	lục địa
unwrap	mở gói
fares	giá vé
longitude	kinh độ
resist	kháng cự
challenged	bị thách thức
telecharger	máy sạc điện thoại
hoped	hy vọng
pike	cá chó
safer	an toàn hơn
insertion	chèn
instrumentation	thiết bị đo đạc
hugo	ôm
wagner	người đánh cược
constraint	hạn chế
groundwater	nước ngầm
touched	chạm vào
strengthening	tăng cường
cologne	nước hoa
wishing	ước gì
ranger	nhân viên kiểm lâm
smallest	nhỏ nhất
insulation	vật liệu cách nhiệt
newman	người mới
marsh	đầm lầy
ctrl	Điều khiển
scared	sợ hãi
infringement	sự vi phạm
bent	uốn cong
subjective	chủ quan
monsters	quái vật
asylum	tị nạn
lightbox	hộp đèn
robbie	tên cướp
stake	cổ phần
outlets	cửa hàng
varieties	Đẳng cấp
arbor	cây thông
configurations	cấu hình
poison	chất độc
php php
